Pitcher,PitcherTeam,TaggedPitchType,Stuff+,RelSpeed,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,AdjustedVAA,AdjustedHAA
"Chillot, Gavin",PIT_UNI,Fastball,201,92.43703,5.16239,2.101065,5.531395,22.652375,7.14914,1.5223833410668968,-0.7415169633872032
"Grotyohann, Connor",RHO_RAM,Sinker,190,93.19441,6.21645,1.8391,6.30918,23.60198,9.11839,0.8358966851140455,-0.7700150975959814
"Kuhle, Max",JMU_DUK,Sinker,180,90.93934,4.646,1.87419,6.74641,9.54863,11.72312,1.167852967027085,-1.9266869756906075
"LaCour, Andrew",CAL_AGO,Sinker,179,79.48099,6.23151,-2.22489,4.68276,-6.63717,8.28945,-3.137103032972915,2.411772962275693
"Anderson, Kade",LSU_TIG,Sinker,174,94.17412,5.62145,-0.88668,6.6591,20.56222,-3.77225,0.9458466851140459,-0.11510597245133625
"Burns, Chase",WAK_DEA,Sinker,173,97.36699,6.37374,1.27262,6.89367,19.30489,1.78504,0.47358868511404584,-0.805421796430603
"Nelson, Cameron",WAK_DEA,Sinker,172,92.48159,4.459603333333333,-3.361413333333333,6.276826666666667,11.618546666666667,-17.21421,1.531333287572222,1.1664504383374474
"Smith, Hagen",ARK_RAZ,Sinker,172,95.7987375862069,5.478542413793103,-3.3644110344827585,6.202085862068966,15.274621034482758,-15.22534724137931,0.9339042268088419,1.2784421913145794
"Stewart, Bradley",EKU_COL,Sinker,171,96.60871333333334,4.488958333333333,-1.344682777777778,5.919268888888889,13.76878,-17.975869444444445,1.870941207476637,-1.112727545187055
"Furtado, Josh",MOR_EAG,Sinker,169,89.79633636363637,5.30044,2.476941818181818,5.734832727272727,23.532005454545455,9.84591090909091,1.300851942543134,-0.9569464189201163
"Matthijs, Matthew",NOR_TAR,Fastball,169,92.31909044982699,5.859277370242214,0.7233959861591696,5.481325467128028,22.14131131487889,2.601961349480969,0.6760441862097444,0.26378976575778984
"Smith, Hagen",ARK_RAZ,Fastball,168,95.56285958271238,5.597623591654248,-3.188702816691505,6.113482742175857,16.470499672131147,-13.194436766020866,0.7000121775350435,1.3234063594537457
"Pence, Dalton",NOR_TAR,Fastball,168,92.41259507788162,5.65970214953271,-1.0970672274143303,5.92773445482866,21.338245202492214,-9.440747196261682,0.851897697008663,-0.5599412014506088
"Antolick, Brett",TEX_AGG,Fastball,167,93.28576666666667,5.931143333333334,1.23175,5.46685,22.38938,7.80443,0.6682006839026676,0.13103672833773908
"Rice, Owen",UWM_PAN,Fastball,166,92.85523006756756,5.9618112162162165,-1.7319815540540542,6.22752027027027,21.6287,-9.29162054054054,0.5615074284630953,0.1721000864256766
"Herring, Griffin",LSU_TIG,Sinker,166,82.14096,5.90392,-2.10728,5.71745,-2.86051,4.23067,-2.2004811995178457,1.7659619622756935
"Wilson, Nick",DAL_PAT,Sinker,164,94.01885,5.23112,1.48477,6.23017,17.34934,7.08024,1.5693746851140453,-0.4210410975959813
"Frize, Drake",SAN_TOR,Sinker,164,90.87639,5.98399,1.21963,5.58514,24.49486,9.21052,0.6235119563318783,0.13218851786078795
"Burns, Chase",WAK_DEA,Fastball,164,97.8374997392638,6.464781380368097,1.3463268865030675,6.54769050613497,20.273298174846623,3.5544307668711657,0.2645134132174702,-0.3315582908559397
"Steensma, Jackson",APP_MOU,Sinker,163,92.78791291666667,5.841720416666667,1.655517222222222,6.57813,20.77022375,11.146074305555555,0.7686619969035594,-0.13690179508571534
"Gaeckle, Gabe",ARK_RAZ,Fastball,162,95.86001187845304,5.502770607734806,0.23485701657458566,5.968207817679558,18.855476602209944,5.707077044198895,1.0474576092189958,1.037247726096524
