Pitcher,PitcherTeam,TaggedPitchType,Stuff+,RelSpeed,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,AdjustedVAA,AdjustedHAA
"Knaak, Aidan",CLE_TIG,ChangeUp,128,77.60038570637118,5.613389279778393,1.3974240997229916,6.499137451523546,6.1666872299168976,16.76173761772853,-0.4447316805777571,0.7057370865457175
"Myles , Conor",UTS_ROA,ChangeUp,128,81.51888333333333,6.954823333333334,-5.092046666666667,5.902153333333334,12.1133,-12.745256666666668,-0.836103641763707,3.1157681653586784
"Moss, Cade",IOW_HAW,ChangeUp,128,77.78058,4.99314,-2.43229,5.69668,9.89048,-22.54552,0.26068989852448077,-0.07393037139599301
"Petrovic, Alexander",AUB_TIG,ChangeUp,128,79.45818673469387,6.026239387755102,1.6735608163265305,5.946374489795918,3.905035918367347,19.508489591836735,-0.9363656324063658,0.6194520023502331
"Little, Christian",LSU_TIG,ChangeUp,128,85.57426690140845,6.26446676056338,1.3653822535211266,5.366196760563381,10.981839577464788,14.671851126760565,0.06240550089471472,0.5849437975269158
"McGuire, Tate",ARK_RAZ,ChangeUp,128,82.59221,5.3850425,1.7551375,4.9293975,10.72392,21.9243725,0.951244763487205,0.7788705836456853
"Straniero, Nolan",ELO_PHO,ChangeUp,128,82.16506,6.22918,1.09217,5.26438,-3.83666,12.07036,-1.3383688029986116,0.7692695182409248
"Mead, Landry",GEO_EAG,ChangeUp,127,81.09503,5.03602,1.4713042857142857,6.110108571428571,6.878722857142857,22.740634285714286,0.49133432250771,1.0912056974006712
"Holbert, Eli",COA_CHA,Splitter,127,85.25499,5.82946,1.95277,6.03044,-1.8263,11.62674,-0.07606415865384442,-0.12838027723516154
"Franklin, Tanner",KEN_OWL,ChangeUp,127,87.36667,5.39394,1.71072,6.35592,0.60819,14.29139,0.005113448803534482,-0.3718480124979777
"Cavanaugh, Cooper",DAV_WIL,ChangeUp,127,79.04787882352942,6.690169166666666,-1.0156807352941177,6.511043529411765,13.375421911764706,-15.680651421568628,-0.7614487028204469,-1.2234191663146172
"Naess, Griffin",CAL_MUS,ChangeUp,127,78.01532645299146,6.241772564102564,2.0068144444444447,5.595126111111112,8.405599914529915,22.570621752136752,-0.9820781246557693,0.6529599327989631
"Asbury, Kristian",TRO_TRJ,Splitter,127,76.240105,6.6342375,1.214995,5.3376025,3.6452137500000004,11.5521475,-1.2321015973894118,0.6988424171373091
"Holman, Luke",LSU_TIG,ChangeUp,127,81.50196,6.08202,1.82032,5.53706,-2.50032,10.29859,-1.1701531171226858,0.11055251824092482
"Semb, Will",MIN_GOL,ChangeUp,127,80.32906074074074,6.366389629629629,1.9951537037037037,4.984076666666667,10.634065432098765,14.758004320987654,-0.5920607417389843,-0.08484854359951984
"Newman, DJ",BGS_FAL,ChangeUp,127,76.21270604651163,6.071586511627907,0.6528102325581395,5.761122558139535,14.940906279069768,12.02288046511628,-0.24678035655993505,1.0681539742094999
"Reitz, Jason",STM_GAE,ChangeUp,127,84.18885557251907,7.240524198473283,1.0131503053435114,5.546539007633588,10.953228396946566,8.17267709923664,-1.091856633263042,0.4192808008545356
"Quinn, Victor",MIZ_TIG,ChangeUp,127,79.17469,6.17702,2.10427,4.55224,-12.89682,3.52866,-2.2296905706422026,-0.7228832663627485
"Kirkwood, Austin",SAN_AZT,ChangeUp,127,72.37265,6.61938,-0.77397,6.85405,13.20568,-12.15375,-1.277687117122686,-1.3085039794948272
"Moore, Brock",ORE_DUC,ChangeUp,127,85.18106541666667,5.350376874999999,1.9688410416666666,5.861751666666667,8.142498958333332,19.994545,0.6995244043697123,0.31725540785601164
"Oldham, Billy",SOU_GOL,ChangeUp,126,78.85733859550562,5.6475723033707865,1.61741797752809,5.637916685393258,10.47959915730337,19.9276622752809,-0.02814079431291881,0.7761926488653855
"Knowles, Nathan",WM_TRI,ChangeUp,126,80.9716572,5.407573999999999,0.9244228,6.2414664,8.0121156,19.1033224,0.2548789368148661,1.5014191982863867
"Quick, Riley",ALA_CRI,ChangeUp,126,87.91737,5.90916,2.6433466666666665,7.262650000000001,-0.74029,17.84422,-0.6562665101505288,-0.5555748175926812
"Burnett, Alec",WAG_SEA,ChangeUp,126,82.02879,6.315196666666666,0.8786900000000001,5.92782,7.50797,12.981333333333334,-0.7535534696652778,0.869396007994624
"Beilenson, Charlie",DUK_BLU,ChangeUp,126,83.93986372384937,5.519474769874477,2.318874351464435,5.200239372384937,1.3253771966527197,15.771868493723849,-0.18382884624160342,-0.37830856366734084
"Foutch, Christian",ARK_RAZ,Splitter,126,85.87740756097561,6.1236778048780485,1.3963251219512196,6.050408536585366,-2.3947195121951217,6.422543170731708,-0.3985736542494134,0.08112709190190981
"Frize, Drake",SAN_TOR,ChangeUp,126,80.20677636363637,5.778788181818182,1.315379090909091,6.539714545454545,12.37964,17.712926363636367,0.2813505655764882,1.0875964924116979
"Mayers, Jacob",NIC_COL,ChangeUp,126,86.19227000000001,7.304186666666666,0.3762033333333334,5.476963333333334,16.394603333333333,4.351933333333333,-0.43541897181583405,0.7929032362137654
"Riccomini, Kaden",CAL_AGO,ChangeUp,126,77.81811142857143,6.527022857142857,0.4952390476190476,5.196084761904761,11.795444761904761,12.13276857142857,-0.8877897997756486,1.415032732837051
"Caycedo, Colin",LOY_LIO,ChangeUp,126,80.60043666666667,5.88441,2.822376666666667,6.009973333333334,11.027226666666666,20.518906666666666,-0.2593773436999027,-0.43460091056665623
"Emus, Jackson",DUK_BLU,ChangeUp,126,82.97341796992481,5.015730977443609,3.063915939849624,6.139524360902255,-2.541762857142857,14.613975939849624,-0.0995122056191274,-1.280283557126291
"Davis, Gabe",OKL_COW,ChangeUp,126,84.13021108108109,5.904675810810811,2.2878402702702703,6.30705418918919,7.768321351351351,16.553968243243244,-0.031216714244480977,-0.2488599052414768
"Macchiarola, Danny",HOL_CRU,ChangeUp,126,83.0704136111111,4.804574722222222,1.9831375,4.9489375,-6.686155833333333,14.417421666666668,-0.22901680392671184,-0.07525492480943562
"Lotito, Chris",JUD,ChangeUp,125,84.03173,5.94551,1.35077,6.34241,9.05296,17.38158,0.16445888287731414,1.1501555182409249
"Gaeckle, Gabe",ARK_RAZ,ChangeUp,125,88.1255343548387,5.17452064516129,0.5556567741935483,5.989942580645161,9.785904838709676,15.058059516129033,1.380968232260784,1.4534967838871449
"Hansen, Cameron",CHA_FOR,ChangeUp,125,76.732698,5.890369285714286,1.4775937142857143,5.345447285714286,4.560117142857142,16.020731428571427,-1.0183568112879438,0.5391410408875287
"Anderson, Ian",MTSU_BLU,ChangeUp,125,80.45255,5.17106,1.08173,6.55327,-3.69252,14.63217,-0.5091455511964664,1.0065651087398373
"Finnegan, Kieran",UCO_HUS,ChangeUp,125,77.78798954545455,6.660459090909091,-1.0915645454545455,5.715324090909092,2.037803181818182,-12.429662727272728,-1.9577598705360204,-0.7634217677637101
"Faulks, Ryan",CAL_FUL,ChangeUp,125,82.52026,5.65796,1.80741,6.2335,-1.68225,12.6856,-1.0259648029986108,0.18750098750202235
"Husak, Joe",ILL_RED,Splitter,125,86.48617,5.48284,1.44198,5.41234,3.61851,20.52328,0.7065440390286213,1.3627207227648386
"Padysak, Daniel",GEO_BUL,ChangeUp,125,86.37994285714285,6.1762500000000005,0.7992671428571428,5.386398214285714,8.603128214285714,16.271080357142857,0.10835950229977233,1.2722694585923358
"Mann, Brandon",MIC_WOL,ChangeUp,125,72.89523166666667,6.193091666666667,1.603245,6.339849999999999,14.261175,8.158436666666667,-0.8936747208993858,-0.3634688240463308
"Johnson, Luke",UMBC_RET,ChangeUp,125,77.50289747368421,6.117005684210526,0.7443551578947368,5.912627473684211,13.67091652631579,14.656185368421053,-0.33616522667415216,1.261456075563721
"Montgomery, Tephen",ORE_BEA,ChangeUp,124,77.20971441176471,6.12901294117647,1.0027017647058822,6.332235588235294,8.668925882352942,15.839244705882352,-0.6808322577163901,1.1214792571929244
"Burns, Chase",WAK_DEA,ChangeUp,124,89.89308240506328,6.2769127848101265,1.9240564556962025,6.384541898734177,10.099036455696202,13.055579620253164,0.40707830663986755,-0.12221173337496423
"Bilka, Ryan",WAG_SEA,ChangeUp,124,77.71527285714285,6.416597142857142,1.0997242857142857,5.399631428571429,3.22367,11.153744285714286,-1.5631587036111116,0.5757770715686364
"Delvecchio, Dylan ",STM_GAE,ChangeUp,124,79.75310999999999,5.81034625,-2.8679525,3.9781950000000004,9.1525925,-24.03992375,-0.20099296124850974,-0.07111054974944161
"Hodges, Bradley",VIR_CAV,ChangeUp,124,78.28139,6.09989,-1.71925,5.65715,15.80859,-21.32824,0.1428136905497226,-0.6546709794948271
"Martinez, Jack",LOU_CAJ,ChangeUp,124,80.82255221238937,5.740627433628319,0.731454424778761,6.7247803539823,10.430268584070795,16.006752300884955,0.14753492603660498,1.3894006880840424
"Olejnik, Peyton",MIA_RED,ChangeUp,124,87.01846777777777,5.727942222222222,1.5258566666666669,6.783768888888889,4.321136666666667,18.08723111111111,0.20578143678720076,0.4892476112538492
"Schorr, Ben",AUB_TIG,ChangeUp,124,85.23236375,6.075621875,1.7654812500000001,5.34086,4.827479375,15.65058625,-0.2455037335014944,0.5410081475962254
"Van Allen, Cade",SAN_SPA,ChangeUp,124,83.471598,6.7141660000000005,2.010434,6.067942,16.131937999999998,12.985212,-0.07618593516635616,0.07894484866081529
"Bainton, Thomas",CAL_MAT,Splitter,124,80.760995,5.878004999999999,1.7018250000000001,5.29925,4.0599099999999995,18.554386666666666,-0.008086349490825503,0.7534829546867652
"Maloney, Evan",RHO_RAM,ChangeUp,124,75.4187165034965,6.797104195804196,-0.13265461538461537,5.142956573426573,11.145787972027973,10.740085874125874,-1.5383921551870807,1.7795769087310203
"Pryor, Luke",MSM_MTN,ChangeUp,124,80.6025975,6.0547075,1.080395,4.71213,19.16989,15.769575,0.19933171923191617,1.3451030028714737
"Guth, Luke",VAN_COM,ChangeUp,124,85.15853750000001,5.237704444444444,1.438215,5.402523333333333,1.2773083333333333,17.40129027777778,0.21578700043064658,0.7302032815903863
"Rich, Lucas",LEH_MOU,ChangeUp,124,79.78665,6.0816,1.6952,7.16527,3.97209,11.6065,-0.7604608029986109,0.3722965182409248
"Marmie, Ethan",CAL_MUS,ChangeUp,124,84.21766227272727,6.176381818181818,2.220091818181818,6.3943709090909095,8.775266363636364,15.85174409090909,-0.21970709224231147,-0.2436962266338556
"Mitrovich, Justin",ELO_PHO,ChangeUp,124,81.39002727272728,5.395965590909091,1.5456801818181818,5.7416706818181815,4.529760772727273,18.13021509090909,0.01348654951876878,0.7008964879135721
"Holycross, Cameron",IND_SYC,ChangeUp,124,81.124325,6.1797925,2.5818075,5.066975,-7.6260449999999995,-11.2437275,-2.07544570666445,-2.7921041682295193
"Gallagher, Ryan",SAN_GAU,ChangeUp,124,76.57340954732511,6.41851341563786,0.3813918518518518,5.685302304526749,8.661345679012346,11.537588395061729,-1.2320488147306006,1.320242167106893
"Vaughns, Jonathan",UCLA,ChangeUp,124,81.59981660194174,6.559905631067962,0.6713650485436893,5.408261553398058,7.1900753398058255,11.669033398058254,-0.9578072691664777,1.0376238725171718
"Haas, Peter",STO_COL,ChangeUp,124,80.210774,5.005592,1.8069929999999998,5.220778,-4.129837,13.592704000000001,-0.5062972899083393,-0.10006440020241669
"Gordon, Austin",CLE_TIG,Splitter,123,87.08728,5.61916,1.74452,5.37581,0.03594,-6.96674,0.5626060390286209,-1.2824899628820963
"Mitchell, Sam",ALA_CRI,ChangeUp,123,82.061774,7.219542,1.079999,5.554042,14.994414,12.332353999999999,-0.8844098521187265,0.5659203990475016
"McNaught, Ray",QUI_BOB,ChangeUp,123,79.10135,6.38525,1.76668,6.97179,11.61296,17.3645,-0.14281780299861158,0.3206885182409247
"Robinson, Kyle",TEX_RAI,ChangeUp,123,83.30607391143911,6.68429778597786,2.1444540959409593,5.626341217712177,9.320638966789668,12.69107070110701,-0.6495193703572995,-0.44124131488604923
"Fang, Callan",HAR_CRI,ChangeUp,123,79.82810384615385,6.124566461538461,0.5567354615384615,6.098339461538462,9.753494615384616,12.988932769230768,-0.548864148412211,1.2525136658959997
"Moyzan, Benjamin",OLD_MON,ChangeUp,123,81.4639875,6.3828075,1.2017275,6.07469,9.390822499999999,15.29249,-0.42465133522267906,1.0978863836809947
"Hippensteel, Max",CAL_AGO,ChangeUp,123,75.53211923076923,6.3034761538461535,1.3362892307692307,5.283438461538462,18.34335,10.600450769230768,-0.6024093110921795,0.14916754372583646
"Oceguera, Ethan",LAM_CAR,ChangeUp,123,76.4585275,5.745365,1.542775,6.032965,2.256055,15.019675,-1.1850062851954688,0.5246871855915085
"Cadieux-Lanoue, Elliot",IOW_HAW,ChangeUp,123,80.07348534883721,5.067746744186047,-2.3573241860465117,5.360944418604651,5.824126976744187,-20.6916311627907,0.3579634765656527,-0.2907670441711811
"Matta, Luke",VIL_WIL,ChangeUp,123,79.44356,5.96632,0.90087,6.25616,9.47504,21.86123,-0.23842631929389846,1.8396929875020225
"Switalski, Tyler",WVN_MN2,ChangeUp,123,78.11137,5.9647,-1.70556,5.72319,6.89591,-16.21501,-0.8615021171226855,-0.39377637139599286
"Topolski, Jack ",EMU_EAG,ChangeUp,123,78.85370333333333,5.794273333333334,1.5573566666666665,6.436793333333333,5.826433333333334,19.730196666666668,-0.299537843483862,0.9403956746612906
"Rodriguez, Luis",IWC,ChangeUp,123,78.09998900000001,5.572961666666667,1.7189406666666665,5.709481666666666,4.8136176666666675,15.383538666666668,-0.5043811259877871,0.3267740492412504
"Snyder, Ethan",WM_TRI,ChangeUp,123,80.04039714285715,6.054947142857143,1.5779571428571428,5.6619785714285715,11.823764285714287,19.92998857142857,-0.3240420655418895,0.801589672124586
"Gonzalez, Daniel",ULM_WAR,ChangeUp,123,84.81384866666666,6.315013777777778,1.503366,6.003478888888888,7.632932444444445,14.727206,-0.3748295629125932,0.4430274464049146
"Brown, Luke",CLE_TIG,ChangeUp,122,78.8118,5.85008,1.57821,6.43137,7.06634,18.04473,-0.7077608029986111,1.1156705182409248
"Hatcher, Aidan",BUT_BUL,ChangeUp,122,81.90263,6.160925,0.592805,6.18936,8.19463,13.958925,-0.5230598375094595,1.3291952159009623
"Neighbors, Tyson",KAN_WIL,ChangeUp,122,86.40055000000001,6.10478,1.83015,5.520435,12.706344999999999,12.44249,0.5364269390806655,-0.3770291163190052
"Norman, Ross",GEO_PAN,ChangeUp,122,85.87074681818181,5.9794386363636365,1.3656004545454545,6.65069590909091,5.494796818181818,15.229086363636362,-0.09899454129738502,0.7425731564943902
